dr_number,date_reported,date_occurred,time_occurred,area_id,area_name,reporting_district,crime_code,crime_code_description,mo_codes,victim_age,victim_sex,victim_descent,lat,lon,status_description,premise_description
160327945,2016-12-24,2016-12-21,1700,3,Southwest,358,310,BURGLARY,0329 1607,44,M,W,34.0215,-118.2868,Invest Cont,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
141416235,2014-06-19,2014-06-18,1900,14,Pacific,1495,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,27,M,B,33.9489,-118.3929,Invest Cont,TRANSPORTATION FACILITY (AIRPORT)
120705714,2012-02-08,2012-02-08,1940,7,Wilshire,734,220,ATTEMPTED ROBBERY,0337 1017 0432,53,M,W,34.0683,-118.3614,Invest Cont,STREET
131811347,2013-06-05,2013-06-04,1605,18,Southeast,1826,220,ATTEMPTED ROBBERY,0355 1822 0370 0400 0342,19,M,H,33.9432,-118.2435,Invest Cont,SIDEWALK
150517909,2015-11-10,2015-11-10,1330,5,Harbor,569,626,INTIMATE PARTNER - SIMPLE ASSAULT,0401 0448 2000 1814 0329,21,F,H,33.7345,-118.279,Invest Cont,PARKING LOT
160715537,2016-09-23,2016-09-23,655,7,Wilshire,759,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,79,M,B,34.0496,-118.3229,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
162113136,2016-07-12,2016-07-11,100,21,Topanga,2185,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,21,F,O,34.1685,-118.6058,Invest Cont,STREET
141310080,2014-04-20,2014-04-20,1425,13,Newton,1361,624,BATTERY - SIMPLE ASSAULT,0416,43,F,H,34.002,-118.274,Invest Cont,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
140418211,2014-12-22,2014-12-21,2330,4,Hollenbeck,464,330,BURGLARY FROM VEHICLE,0344 1302 0352,41,M,H,34.0456,-118.2101,Invest Cont,STREET
120816064,2012-10-18,2012-10-18,100,8,West LA,827,330,BURGLARY FROM VEHICLE,0344 1300 1609,29,M,W,34.0611,-118.4684,Invest Cont,PARKING LOT
